"TIPO CICLO";"TEST.DI.TENUTA";"TEMPERATURA";"temp.3";"temp.2";"temp.1";"t.9";"t.8";"t.7";"t.6";"t.5";"t.4";"t.32";"t.31";"t.30";"t.3";"t.29";"t.28";"t.27";"t.26";"t.25";"t.24";"t.23";"t.22";"t.21";"t.20";"t.2";"t.19";"t.18";"t.17";"t.16";"t.15";"t.14";"t.13";"t.12";"t.11";"t.10";"t.1";"STERILIZZAZIONE.DINAMICA";"SCARICO";"RISCIACQUO";"PULSANTE.STOP";"PRELEVATO.DA";"NUMERO CICLO";"MISCELAZIONE";"INIZIO CICLO";"FINE.CICLO";"DISINFEZIONE";"DETERSIONE";"CICLO REGOLARE";"CARICO.STERILIZZANTE.2";"CARICO.STERILIZZANTE.1";"CARICO.DETERGENTE";"CARICO.ACQUA";"CAMBIO.TANICA";"ASCIUGATURA";"Allarme.valvole.ingresso.acqua";"Allarme.time.out.scarico.sterilizzante.1";"Allarme.time.out.carico.sterilizzante.1";"Allarme.time.out.carico.acqua";"Allarme.test.di.tenuta";"Allarme.temperatura.minima.acqua";"Allarme.temperatura.massima.acqua";"Allarme.sovrappressione.test.di.tenuta";"Allarme.sensore.giri.spruzzatore";"Allarme.scarico";"Allarme.pressione.minima.test.di.tenuta";"Allarme.pressione.minima.aria";"Allarme.pressione.massima.aria";"Allarme.pressione.acqua";"Allarme.perdita.liquido";"Allarme.canale.7.otturato";"Allarme.canale.7.disconnesso";"Allarme.canale.6.scollegato";"Allarme.canale.6.otturato";"Allarme.canale.5.scollegato";"Allarme.canale.5.otturato";"Allarme.canale.4.scollegato";"Allarme.canale.4.otturato";"Allarme.canale.3.scollegato";"Allarme.canale.3.otturato";"Allarme.canale.2.scollegato";"Allarme.canale.2.otturato";"Allarme.canale.1.scollegato";"Allarme.canale.1.otturato";"Allarme.apertura.vasca";"ALCOOL";"Alarm.spray.arm";"Alarm.selfdisinfection.flow"
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"66";"30";"85";"126";"16";NA;NA;NA;"26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"85";"45";"85";"66";"31";"85";"606";"44";"42";"58";"0";"1";"1";"1";NA;"1";"418";NA;"16/05/2016 15:54:26";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"29";"31";"85";"601";"66";"45";"44";NA;NA;NA;"58";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"1412";"74";"85";"98";"0";NA;"1";"1";NA;"1";"419";"1";"17/05/2016 07:29:17";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"26";"66";"32";"85";"606";"45";"45";NA;NA;NA;"53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";NA;NA;NA;NA;NA;NA;NA;"276";"44";"85";"0";"1";"1";"1";NA;"1";"420";NA;"17/05/2016 08:24:04";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"25";"66";"31";"85";"606";"45";"43";NA;NA;NA;"54";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"749";"45";"85";"0";"1";"1";"1";NA;"1";"421";NA;"17/05/2016 09:06:49";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"25";"67";"30";"85";"607";"43";"46";NA;NA;NA;"53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"131";"44";"85";"0";"1";"1";"1";NA;"1";"422";NA;"17/05/2016 09:45:45";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"126";"31";"85";"126";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"13";"45";"85";"126";"30";"85";"606";"43";"45";"58";"0";"1";"1";"1";NA;"1";"423";NA;"17/05/2016 10:16:13";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"29";"32";"85";"602";"66";"43";"44";NA;NA;NA;"58";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"94";"75";"84";"98";"0";NA;"1";"1";NA;"1";"424";"1";"18/05/2016 07:21:38";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"26";"67";"31";"86";"606";"45";"44";NA;NA;NA;"54";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";NA;NA;NA;NA;NA;NA;NA;"848";"44";"85";"0";"1";"1";"1";NA;"1";"425";NA;"18/05/2016 08:52:36";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"66";"32";"85";"126";"15";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"27";"44";"85";"66";"32";"85";"606";"44";"44";"59";"0";"1";"1";"1";NA;"1";"426";NA;"18/05/2016 09:48:24";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"127";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"62";"6";"44";"85";"126";"31";"85";"606";"44";"44";"59";"0";"1";"1";"1";NA;"1";"427";NA;"18/05/2016 10:21:26";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"66";"32";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";"195";"45";"85";"66";"31";"85";"606";"44";"43";"58";"0";"1";"1";"1";NA;"1";"428";NA;"18/05/2016 10:58:55";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"126";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;"51";"44";"60";"85";"126";"31";"85";"607";"45";"40";"431";"44";"100";"0";"1";"1";"1";NA;"1";"429";NA;"18/05/2016 12:12:59";"1";NA;"1";1;"1";"1";"1";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"96";"32";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";"39";"44";"84";"97";"30";"85";"607";"43";"44";"57";"0";"1";"1";"1";NA;"1";"430";NA;"18/05/2016 13:39:18";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"127";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";"157";"44";"86";"126";"31";"85";"606";"43";"45";"56";"0";"1";"1";"1";NA;"1";"431";NA;"18/05/2016 14:57:56";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"23";"24";"85";"66";"32";"85";"126";"15";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"103";"44";"85";"67";"30";"85";"607";"43";"44";"56";"0";"1";"1";"1";NA;"1";"432";NA;"18/05/2016 15:37:05";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"67";"30";"85";"126";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"54";"288";"44";"85";"67";"31";"85";"606";"43";"45";"57";"0";"1";"1";"1";NA;"1";"433";NA;"18/05/2016 17:18:27";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"29";"32";"85";"602";"66";"44";"43";NA;NA;NA;"53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"408";"75";"85";"97";"0";NA;"1";"1";NA;"1";"434";"1";"19/05/2016 07:29:56";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"26";"26";"85";"96";"32";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";"221";"45";"84";"97";"31";"85";"606";"44";"44";"55";"0";"1";"1";"1";NA;"1";"435";NA;"19/05/2016 09:46:04";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"66";"32";"85";"126";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"59";"64";"44";"85";"66";"32";"85";"606";"44";"45";"56";"0";"1";"1";"1";NA;"1";"436";NA;"19/05/2016 10:32:41";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"66";"32";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"10";"45";"85";"66";"32";"85";"606";"44";"43";"57";"0";"1";"1";"1";NA;"1";"437";NA;"19/05/2016 11:19:42";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"66";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"54";"87";"44";"85";"66";"32";"85";"606";"44";"43";"57";"0";"1";"1";"1";NA;"1";"438";NA;"19/05/2016 11:51:40";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"26";"85";"66";"32";"85";"126";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"145";"44";"85";"67";"31";"85";"606";"43";"44";"56";"0";"1";"1";"1";NA;"1";"439";NA;"19/05/2016 14:27:06";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;"24";NA;NA;"70";"390";"61";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;"1";"440";NA;"19/05/2016 15:00:08";"1";NA;"1";0;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"96";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";"4";"45";"85";"95";"33";"85";"606";"42";"43";"57";"0";"1";"1";"1";NA;"1";"441";NA;"19/05/2016 15:11:49";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"29";"31";"85";"601";"66";"44";"43";NA;NA;NA;"56";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"124";"74";"85";"98";"0";NA;"1";"1";NA;"1";"442";"1";"20/05/2016 07:24:38";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"66";"32";"85";"126";"16";NA;NA;NA;"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"514";"44";"85";"66";"32";"85";"606";"44";"42";"55";"0";"1";"1";"1";NA;"1";"443";NA;"20/05/2016 09:23:20";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"24";"66";"32";"85";"606";"43";"43";NA;NA;NA;"55";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"62";"44";"85";"0";"1";"1";"1";NA;"1";"444";NA;"20/05/2016 10:01:45";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"24";"66";"32";"85";"606";"44";"43";NA;NA;NA;"52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"24";"44";"85";"0";"1";"1";"1";NA;"1";"445";NA;"20/05/2016 10:25:13";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"24";"66";"32";"85";"606";"44";"43";NA;NA;NA;"52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"67";"45";"85";"0";"1";"1";"1";NA;"1";"446";NA;"20/05/2016 10:48:23";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"24";"67";"32";"85";"606";"45";"42";NA;NA;NA;"53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";NA;NA;NA;NA;NA;NA;NA;"139";"44";"85";"0";"1";"1";"1";NA;"1";"447";NA;"20/05/2016 11:30:48";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"29";"32";"85";"602";"66";"46";"42";NA;NA;NA;"56";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"450";"74";"85";"98";"0";NA;"1";"1";NA;"1";"448";"1";"23/05/2016 07:32:55";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"26";"26";"85";"66";"32";"85";"126";"16";NA;NA;NA;"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"312";"44";"85";"66";"31";"85";"607";"42";"42";"58";"0";"1";"1";"1";NA;"1";"449";NA;"23/05/2016 08:49:11";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"26";"26";"85";"66";"32";"85";"126";"15";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"410";"44";"85";"66";"32";"85";"606";"44";"41";"60";"0";"1";"1";"1";NA;"1";"450";NA;"23/05/2016 10:06:54";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"66";"32";"84";"126";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"59";"206";"44";"85";"66";"32";"85";"606";"43";"42";"59";"0";"1";"1";"1";NA;"1";"451";NA;"23/05/2016 10:42:57";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"66";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"287";"44";"85";"66";"32";"85";"606";"44";"42";"58";"0";"1";"1";"1";NA;"1";"452";NA;"23/05/2016 11:16:17";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"66";"31";"85";"126";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"134";"44";"85";"66";"31";"85";"606";"43";"42";"59";"0";"1";"1";"1";NA;"1";"453";NA;"23/05/2016 12:58:01";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"29";"32";"85";"602";"66";"44";"42";NA;NA;NA;"58";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"123";"75";"85";"97";"0";NA;"1";"1";NA;"1";"454";"1";"24/05/2016 07:22:51";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"26";"96";"32";"85";"606";"41";"43";NA;NA;NA;"53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";NA;NA;NA;NA;NA;NA;NA;"21";"44";"85";"0";"1";"1";"1";NA;"1";"455";NA;"24/05/2016 08:25:15";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"26";"26";"85";"127";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";NA;NA;"15";"390";"77";"45";"46";"260";"42";"101";"0";"1";"1";"1";NA;"1";"456";NA;"24/05/2016 09:43:57";"1";NA;"1";0;"1";"1";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"25";"126";"32";"85";"606";"45";"43";NA;NA;NA;"57";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"23";"44";"85";"0";"1";"1";"1";NA;"1";"457";NA;"24/05/2016 10:14:09";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"26";"85";"127";"31";"86";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";"126";"44";"85";"127";"31";"85";"606";"44";"41";"59";"0";"1";"1";"1";NA;"1";"458";NA;"24/05/2016 11:16:26";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"66";"32";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";"98";"45";"85";"66";"31";"85";"606";"44";"42";"60";"0";"1";"1";"1";NA;"1";"459";NA;"24/05/2016 11:58:24";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"127";"31";"85";"126";"16";NA;NA;NA;"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";"7";"44";"85";"127";"31";"85";"606";"43";"42";"58";"0";"1";"1";"1";NA;"1";"460";NA;"24/05/2016 13:00:37";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"126";"31";"85";"126";"16";NA;NA;NA;"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"50";"44";"85";"126";"32";"85";"607";"43";"42";"58";"0";"1";"1";"1";NA;"1";"461";NA;"24/05/2016 14:28:36";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
