"INIZIO CICLO";"TIPO CICLO";"NUMERO SERIALE";"STRUMENTO";"CATEGORIA";"MATRICOLA";"IDENTIFICATIVO";"OPERATORE";"NUMERO CICLO";"ALLARMI";"testo";"ESITO CICLO"
2016-10-13 12:56:23;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-145";"DUODENOSCOPIO";"2801544";"07";"N.R.";"1113";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-13 14:52:14;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-145";"DUODENOSCOPIO";"2801544";"07";"N.R.";"1114";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-13 15:27:01;"STERILIZZAZIONE COMPLETA";"6-0014";"FI-10BS";"FIBROSCOPIO";"G111400";"BLOCCO OP.";"N.R.";"1115";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 07:27:01;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"E.C.O.";"1116";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA TEMPERATURA:28°C CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 09:53:49;"STERILIZZAZIONE VELOCE";"6-0014";"EB-1570K";"BRONCOSCOPIO";"G121641";"22";"B.M.";"1117";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:27°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 10:24:55;"STERILIZZAZIONE VELOCE";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G121045";"23";"M.F.";"1118";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 10:55:55;"STERILIZZAZIONE COMPLETA";"6-0014";"GIF-Q180";"GASTROSCOPIO";"2800079";"02";"M.F.";"1119";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 11:49:29;"STERILIZZAZIONE VELOCE";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120511";"24";"M.F.";"1120";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 12:21:04;"STERILIZZAZIONE VELOCE";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120774";"25";"G.B.";"1121";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 12:57:33;"STERILIZZAZIONE COMPLETA";"6-0014";"FI-16BS";"FIBROSCOPIO";"G111106";"BLOCCO OP.";"G.B.";"1122";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 15:34:25;"STERILIZZAZIONE COMPLETA";"6-0014";"GF-UCT180";"ECOENDOSCOPIO";"7310076";"18";"B.M.";"1123";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:27°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-14 17:10:07;"STERILIZZAZIONE COMPLETA";"6-0014";"GF-UCT180";"ECOENDOSCOPIO";"7310076";"18";"M.F.";"1124";"Allarme canale 4 scollegato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:26°C Allarme canale 4 scollegato FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-10-14 17:27:01;"STERILIZZAZIONE COMPLETA";"6-0014";"GF-UCT180";"ECOENDOSCOPIO";"7310076";"18";"M.F.";"1125";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:23°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA TEMPERATURA:24°C CARICO STERILIZZANTE 1 CAMBIO TANICA CARICO STERILIZZANTE 2 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-17 07:29:49;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"V.M.L.";"1126";"Allarme temperatura massima acqua";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA Allarme temperatura massima acqua FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-10-17 07:55:30;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"V.M.L.";"1127";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:27°C CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-17 10:15:39;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120774";"25";"N.R.";"1128";"Allarme perdita liquido";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:26°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:26°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA Allarme perdita liquido FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-10-17 10:39:20;"STERILIZZAZIONE VELOCE";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120774";"25";"C.G.";"1129";"Allarme perdita liquido";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA Allarme perdita liquido FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-10-17 14:00:45;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120511";"24";"N.R.";"1130";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:26°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:26°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-17 15:20:48;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-145";"DUODENOSCOPIO";"2801544";"07";"D.M.";"1131";"Allarme canale 1 scollegato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C Allarme canale 1 scollegato FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-10-17 15:32:42;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-145";"DUODENOSCOPIO";"2801544";"07";"D.M.";"1132";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-17 16:15:27;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-160VR";"DUODENOSCOPIO";"2902717";"08";"D.M.";"1133";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-18 07:28:11;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"E.V.";"1134";"Allarme temperatura massima acqua";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 Allarme temperatura massima acqua FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-10-18 08:14:14;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"G.B.";"1135";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:27°C CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-18 08:39:31;"STERILIZZAZIONE VELOCE";"6-0014";"FI-10BS";"FIBROSCOPIO";"G111400";"BLOCCO OP.";"G.B.";"1136";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-18 11:06:24;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-145";"DUODENOSCOPIO";"2801544";"07";"B.M.";"1137";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:26°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-18 12:04:23;"STERILIZZAZIONE VELOCE";"6-0014";"FI-16BS";"FIBROSCOPIO";"G111106";"BLOCCO OP.";"B.M.";"1138";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-18 13:09:28;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-160VR";"DUODENOSCOPIO";"2902717";"08";"N.R.";"1139";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 07:53:34;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"D.M.";"1140";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:29°C CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 09:55:12;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120774";"25";"V.M.L.";"1141";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:26°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:26°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 10:32:34;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G121045";"23";"B.M.";"1142";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 11:26:54;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1570K";"BRONCOSCOPIO";"G121641";"22";"B.M.";"1143";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 12:06:22;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120511";"24";"V.M.L.";"1144";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 12:48:16;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120774";"25";"G.B.";"1145";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 13:32:01;"STERILIZZAZIONE COMPLETA";"6-0014";"VNL-1570STK";"LARINGOSCOPIO";"G120029";"20";"B.M.";"1146";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 14:07:06;"STERILIZZAZIONE VELOCE";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"B.M.";"1147";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE VELOCE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-19 15:36:38;"STERILIZZAZIONE COMPLETA";"6-0014";"CF-Q180AL";"COLONSCOPIO";"2008265";"15";"V.M.L.";"1148";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 07:27:36;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"V.M.L.";"1149";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:29°C CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 09:35:43;"STERILIZZAZIONE COMPLETA";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"C.P.";"1150";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 10:12:10;"STERILIZZAZIONE COMPLETA";"6-0014";"VNL-1570STK";"LARINGOSCOPIO";"G120029";"20";"C.P.";"1151";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 11:09:43;"STERILIZZAZIONE COMPLETA";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"C.P.";"1152";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 11:57:18;"STERILIZZAZIONE COMPLETA";"6-0014";"FI-10BS";"FIBROSCOPIO";"G111400";"BLOCCO OP.";"C.P.";"1153";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 13:15:25;"STERILIZZAZIONE COMPLETA";"6-0014";"TJF-160VR";"DUODENOSCOPIO";"2902717";"08";"N.R.";"1154";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA TEMPERATURA:25°C CARICO STERILIZZANTE 1 CAMBIO TANICA CARICO STERILIZZANTE 2 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 14:41:55;"STERILIZZAZIONE COMPLETA";"6-0014";"GF-UCT180";"MULETTO ECOENDO";"00000000";"30";"C.P.";"1155";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:25°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:25°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-20 15:22:19;"STERILIZZAZIONE COMPLETA";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"C.P.";"1156";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:24°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:24°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-21 07:28:41;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"C.P.";"1157";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA TEMPERATURA:29°C CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-10-21 09:59:34;"STERILIZZAZIONE COMPLETA";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120511";"24";"M.F.";"1158";"Nessun allarme rilevato";"TIPO CICLO: STERILIZZAZIONE COMPLETA TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s) TEMPERATURA:26°C SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 TEMPERATURA:26°C CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
